IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,64,0.00
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,65,0.00
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,61,0.00
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,82,0.00
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,69,0.00
8.219.83.201,80,80,false,SIN,Asia Pacific,Singapore,64,0.00
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,56,0.00
8.219.200.145,8080,8080,false,SIN,Asia Pacific,Singapore,62,0.00
47.245.114.163,2095,2095,false,SIN,Asia Pacific,Singapore,52,0.00
8.210.100.23,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,54,0.00
8.219.83.201,8080,8080,false,SIN,Asia Pacific,Singapore,59,0.00
47.245.105.224,8080,8080,false,SIN,Asia Pacific,Singapore,52,0.00
8.210.100.23,8080,8080,false,HKG,Asia Pacific,Hong Kong,25,0.00
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,51,0.00
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,25,0.00
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,58,0.00
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,52,0.00
8.210.192.93,8080,8080,false,HKG,Asia Pacific,Hong Kong,22,0.00
47.76.255.235,80,443,true,SIN,Asia Pacific,Singapore,31,0.00
8.219.126.240,443,443,true,SIN,Asia Pacific,Singapore,107,0.00
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,76,0.00
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.00
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,0.00
8.217.85.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,35,0.00
8.210.107.246,80,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,81,0.00
8.219.174.142,80,80,false,SIN,Asia Pacific,Singapore,71,0.00
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,69,0.00
47.236.123.133,8080,8080,false,SIN,Asia Pacific,Singapore,96,0.00
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,89,0.00
47.245.86.230,8080,8080,false,SIN,Asia Pacific,Singapore,106,0.00
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,114,0.00
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,77,0.00
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,82,0.00
8.219.111.147,8080,8080,false,SIN,Asia Pacific,Singapore,107,0.00
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,105,0.00
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,88,0.00
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,84,0.00
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,58,0.00
8.222.191.138,8080,8080,false,SIN,Asia Pacific,Singapore,80,0.00
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,90,0.00
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,108,0.00
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,88,0.00
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,22,0.00
8.219.222.98,8080,8080,false,SIN,Asia Pacific,Singapore,73,0.00
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,69,0.00
47.242.183.7,80,80,false,HKG,Asia Pacific,Hong Kong,71,0.00
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,63,0.00
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,54,0.00
8.219.229.190,80,80,false,SIN,Asia Pacific,Singapore,70,0.00
8.219.77.222,8080,8080,false,SIN,Asia Pacific,Singapore,70,0.00
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,96,0.00
8.218.126.53,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,0.00
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,54,0.00
8.219.77.141,80,0,false,SJC,North America,San Jose,55,0.00
47.242.252.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,0.00
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,100,0.00
8.210.174.156,2095,2095,false,HKG,Asia Pacific,Hong Kong,23,0.00
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,101,0.00
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,24,0.00
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,69,0.00
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,83,0.00
47.236.102.102,80,0,false,SIN,Asia Pacific,Singapore,56,0.00
47.245.96.80,8080,8080,false,SIN,Asia Pacific,Singapore,90,0.00
47.245.114.163,80,80,false,SIN,Asia Pacific,Singapore,81,0.00
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,84,0.00
8.222.144.50,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,76,0.00
8.222.244.192,80,80,false,SIN,Asia Pacific,Singapore,87,0.00
47.76.33.40,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.210.156.6,80,80,false,HKG,Asia Pacific,Hong Kong,46,0.00
8.217.91.121,80,80,false,HKG,Asia Pacific,Hong Kong,48,0.00
