IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,99,0.39
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,90,0.39
47.236.75.152,2052,2052,false,SIN,Asia Pacific,Singapore,89,0.39
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,65,0.38
47.236.180.51,2087,2087,true,SIN,Asia Pacific,Singapore,58,0.38
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,60,0.38
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,120,0.37
47.236.170.225,2053,2053,true,SIN,Asia Pacific,Singapore,103,0.37
47.245.96.80,8880,8880,false,SIN,Asia Pacific,Singapore,52,0.36
8.222.134.170,2096,2096,true,SIN,Asia Pacific,Singapore,55,0.36
47.236.144.156,8443,8443,true,SIN,Asia Pacific,Singapore,93,0.35
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,66,0.35
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,70,0.34
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,99,0.34
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,107,0.33
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,64,0.32
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,64,0.32
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,58,0.31
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,55,0.31
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,93,0.31
8.222.136.247,2082,2082,false,SIN,Asia Pacific,Singapore,57,0.30
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,54,0.30
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,103,0.30
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,145,0.29
8.222.244.192,2086,2086,false,SIN,Asia Pacific,Singapore,156,0.29
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,59,0.28
47.237.0.31,8880,8880,false,SIN,Asia Pacific,Singapore,121,0.28
8.219.98.13,2087,2087,true,SIN,Asia Pacific,Singapore,98,0.28
47.237.125.8,8880,8880,false,SIN,Asia Pacific,Singapore,93,0.28
8.222.137.192,2053,2053,true,SIN,Asia Pacific,Singapore,97,0.27
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,60,0.26
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,68,0.26
8.219.11.158,2095,2095,false,SIN,Asia Pacific,Singapore,79,0.25
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,56,0.24
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,41,0.24
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,86,0.24
47.236.80.110,2095,2095,false,SIN,Asia Pacific,Singapore,81,0.22
8.219.78.1,2095,2095,false,SIN,Asia Pacific,Singapore,99,0.21
103.180.193.56,443,443,true,SIN,Asia Pacific,Singapore,426,0.20
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,181,0.19
129.150.50.63,443,443,true,SIN,Asia Pacific,Singapore,228,0.18
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,90,0.18
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,57,0.16
47.236.102.102,2053,2053,true,SIN,Asia Pacific,Singapore,67,0.15
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,104,0.15
47.76.247.16,80,443,true,SIN,Asia Pacific,Singapore,100,0.15
8.219.104.37,2086,2086,false,SIN,Asia Pacific,Singapore,74,0.10
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,128,0.09
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,60,0.05
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,86,0.05
47.245.96.80,2096,2096,true,SIN,Asia Pacific,Singapore,70,0.05
47.250.176.199,80,443,true,SIN,Asia Pacific,Singapore,354,0.05
8.219.0.48,2096,2096,true,SIN,Asia Pacific,Singapore,112,0.02
8.219.229.190,2053,2053,true,SIN,Asia Pacific,Singapore,61,0.02
8.219.111.175,2083,2083,true,SIN,Asia Pacific,Singapore,72,0.02
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,98,0.01
8.219.83.201,80,80,false,SIN,Asia Pacific,Singapore,66,0.00
8.219.126.240,80,80,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,61,0.00
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,142,0.00
8.219.202.130,8080,8080,false,SIN,Asia Pacific,Singapore,70,0.00
8.219.100.168,2086,2086,false,SIN,Asia Pacific,Singapore,88,0.00
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,61,0.00
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,55,0.00
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,112,0.00
47.236.167.231,8080,8080,false,SIN,Asia Pacific,Singapore,70,0.00
